Respondent.Serial,sample_group,idfx,respID,sernofx,S1,S2,respondent_age,hAgeRecode,S3,S4,S5,S6,S7 (1/9),S7 (2/9),S7 (3/9),S7 (4/9),S7 (5/9),S7 (6/9),S7 (7/9),S7 (8/9),S7 (9/9),Q1,Q2,Q3,Q4,Q5 (1/24),Q5 (2/24),Q5 (3/24),Q5 (4/24),Q5 (5/24),Q5 (6/24),Q5 (7/24),Q5 (8/24),Q5 (9/24),Q5 (10/24),Q5 (11/24),Q5 (12/24),Q5 (13/24),Q5 (14/24),Q5 (15/24),Q5 (16/24),Q5 (17/24),Q5 (18/24),Q5 (19/24),Q5 (20/24),Q5 (21/24),Q5 (22/24),Q5 (23/24),Q5 (24/24),OB1_loop[{_01}].OB1,OB1_loop[{_02}].OB1,OB1_loop[{_03}].OB1,OB1_loop[{_04}].OB1,OB1_loop[{_05}].OB1,OB1_loop[{_06}].OB1,OB1_loop[{_07}].OB1,OB1_loop[{_08}].OB1,OB1_loop[{_09}].OB1,OB1_loop[{_10}].OB1,OB1_loop[{_11}].OB1,OB1_loop[{_12}].OB1,OB1_loop[{_13}].OB1,OB1_loop[{_14}].OB1,OB2,OB3,OB4 (1/8),OB4 (2/8),OB4 (3/8),OB4 (4/8),OB4 (5/8),OB4 (6/8),OB4 (7/8),OB4 (8/8),OB5_loop[{_01}].OB5,OB5_loop[{_02}].OB5,OB5_loop[{_03}].OB5,OB5_loop[{_04}].OB5,OB5_loop[{_05}].OB5,OB5_loop[{_06}].OB5,OB5_loop[{_07}].OB5,OB5_loop[{_Other}].OB5,C0,C1,hCompanySize,C2,C3,C4,C5,C6 (1/6),C6 (2/6),C6 (3/6),C6 (4/6),C6 (5/6),C6 (6/6),C7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,gen_pop,LFCL3J,LFCL3J,425,_02,1983,42,age_04,_06,_01,_03,_04,_04,_06,,,,,,,,_04,I am lucky to work for a boss that pushes us to be our best and think outside the box.  She really makes working here enjoyable.,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_03,_04,_02,_01,_03,_03,_03,_04,_03,_03,_03,_03,_03,_02,_06,_03,_05,,,,,,,,_04,,_03,_03,,,Yes,_08,company_05,_10,_04,_01,_06,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,gen_pop,K9N31J,K9N31J,430,_02,1973,52,age_05,_07,_01,_04,_07,_06,,,,,,,,,_03,"I’m genuinely satisfied with my job and proud of the work I do. I find fulfillment in the challenges and opportunities that come with my role. However, navigating a male-dominated industry as a woman has presented its own set of struggles. While I’ve grown stronger and more resilient through these experiences, I believe there’s still work to be done in creating a more inclusive and supportive environment for everyone.",_01,,,,,,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_04,_02,_02,_04,_03,_03,_03,_03,_04,_03,_04,_03,_01,_06,_03,_07,_05,,,,,,,_04,,_04,_04,_04,,Yes,_08,company_05,_10,_01,_01,_06,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,gen_pop,J2JGCB,J2JGCB,431,_02,1971,54,age_05,_05,_01,_02,_04,_02,,,,,,,,,_04,I enjoy the evolution and advancement of the technology,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_04,_04,_03,_03,_01,_01,_04,_02,_04,_04,_04,_04,_03,_04,_03,_02,_06,_07,_05,,,,,,,,,,_04,_04,_05,,Yes,_08,company_05,_10,_01,_01,_06,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,gen_pop,HBKDG1,HBKDG1,435,_02,1975,50,age_05,_04,_01,_Other,_03,_06,,,,,,,,,_02,"A lot of red tape, long work hours, and not an SME",_05,_03,_10,_24,_21,,,,,,,,,,,,,,,,,,,,,,_03,_04,_02,_03,_01,_02,_04,_01,_02,_03,_03,_01,_03,_04,_03,_01,_05,_03,_02,,,,,,,_04,_03,,_03,,,,Yes,_08,company_05,_10,_01,_01,_07,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,gen_pop,I3E1A5,I3E1A5,436,_02,1983,42,age_04,_03,_01,_02,_03,_01,_03,,,,,,,,_03,"Need more growth, bigger business",_04,_03,_24,_02,,,,,,,,,,,,,,,,,,,,,,,_02,_03,_03,_02,_01,_03,_03,_03,_03,_02,_03,_02,_03,_03,_04,_01,_05,_06,,,,,,,,,,,_04,_01,,,Yes,_07,company_05,_07,_01,_03,_09,_04,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,gen_pop,N31CHG,N31CHG,437,_02,1974,51,age_05,_07,_01,_Other,_04,_06,,,,,,,,,_03,"I've seen some inconsistencies in management and treatment of individuals and hiring practices that I'm not fond of. There is a lot of talk about transparency, but the truth is that it does not really happen. There is less balance in hiring than I would like, although the majority of appointments have been made with individuals best suited to positions versus based on gender or race.",_04,_03,_18,_10,_04,_09,_06,,,,,,,,,,,,,,,,,,,,_03,_03,_04,_02,_01,_03,_04,_03,_03,_04,_04,_03,_04,_04,_03,_01,_03,_02,_05,_04,_01,_07,,,_04,_03,_03,_04,_05,,_05,,Yes,_08,company_05,_10,_04,_02,_08,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,gen_pop,B6261D,B6261D,439,_02,1991,34,age_03,_03,_01,_02,_07,_08,,,,,,,,,_05,I think it has opened the door for many opportunities.,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_04,_03,_03,_03,_04,_04,_03,_03,_04,_03,_03,_03,_04,_02,_05,_07,,,,,,,,,,,_05,,_05,,Yes,_07,company_05,_10,_04,_04,_08,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,gen_pop,EAG729,EAG729,441,_02,1986,39,age_04,_06,_01,_03,_02,_03,,,,,,,,,_01,Dont feel appreciated. The industry caters to men,_05,_02,_18,_12,_24,_13,_10,_11,_03,,,,,,,,,,,,,,,,,,_03,_03,_04,_02,_02,_03,_04,_03,_02,_01,_01,_01,_01,_04,_02,_01,_06,,,,,,,,,,,,,_03,,,Yes,_08,company_05,_08,_03,_03,_07,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,gen_pop,4LDAM7,4LDAM7,444,_02,1978,47,age_05,_07,_01,_02,_03,_06,,,,,,,,,_03,"Boys club, toxic dynamics in some areas",_03,_01,_10,_09,_13,_Other,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_03,_01,_03,_04,_04,_03,_04,_04,_04,_03,_04,_03,_01,_05,,,,,,,,,,,,_03,,,,Yes,_08,company_05,_10,_04,_01,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,gen_pop,GFHD6J,GFHD6J,446,_02,2000,25,age_03,_04,_01,_Other,_04,_04,_06,_07,,,,,,,_02,"My current job holds a lot of potential; however, there are a variety of issues that arise that create hinderances. These issues are primarily organizational, such as leadership.",_05,_03,_10,_04,_02,_11,_09,_18,,,,,,,,,,,,,,,,,,,_03,_03,_04,_04,_02,_04,_03,_03,_03,_03,_03,_02,_03,_03,_04,_02,none,,,,,,,,,,,,,,,,Yes,_02,company_01,_08,_04,_01,_04,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,gen_pop,77EN13,77EN13,449,_02,1993,32,age_03,_06,_01,_02,_04,_05,,,,,,,,,_04,"My current role has scope to work on new technologies and concepts. Also, to lead people towards it",_01,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_02,_03,_03,_02,_03,_03,_02,_03,_03,_03,_03,_03,_04,_02,_01,_04,_02,,,,,,,,_03,,_04,,,,,Yes,_08,company_05,_09,_01,_01,_10,_04,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,gen_pop,BBBD3D,BBBD3D,452,_02,1984,41,age_04,_06,_01,_02,_04,_02,,,,,,,,,_04,I have a supportive team of colleagues,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_03,_02,_01,_03,_03,_03,_04,_04,_04,_04,_04,_04,_03,_01,_03,_06,_05,,,,,,,,_04,,_04,_04,,,Yes,_08,company_05,_10,_01,_02,_07,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,gen_pop,3CJM21,3CJM21,453,_02,1982,43,age_04,_04,_01,_01,_05,_02,,,,,,,,,_05,I work for an organization with strong leadership.,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_03,_03,_02,_01,_02,_03,_01,_04,_04,_04,_04,_04,_04,_02,_01,_07,_06,,,,,,,,,,,,_04,_04,,Yes,_05,company_03,_08,_01,_02,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,gen_pop,M95CH5,M95CH5,454,_02,1971,54,age_05,_05,_01,_Other,_Other,_06,,,,,,,,,_04,"Good support, tools, and resources to perform job.",_01,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_03,_03,_01,_03,_03,_03,_04,_03,_03,_04,_03,_03,_05,_01,_07,_05,_03,,,,,,,,_03,,_03,,_04,,Yes,_08,company_05,_10,_01,_01,_07,_02,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,gen_pop,JKMH5I,JKMH5I,456,_02,1972,53,age_05,_03,_01,_Other,_02,_03,,,,,,,,,_05,"HID is a great company - great leadership, great team, meaningful work.",_01,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_04,_04,_02,_02,_03,_03,_03,_03,_04,_04,_04,_04,_03,_01,_04,_02,,,,,,,,_04,,_04,,,,,Yes,_08,company_05,_03,_01,_02,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,gen_pop,FKHJKN,FKHJKN,457,_02,1973,52,age_05,_04,_01,_03,_04,_08,,,,,,,,,_03,"I continue to learn and grow; I am able to work from home = adds to satisfaction.  Lack of leadership decision making, subpar ERP, understaffing = decreases satisfaction",_02,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_03,_04,_03,_02,_02,_04,_03,_02,_03,_03,_03,_03,_04,_02,_01,_05,,,,,,,,,,,,_04,,,,Yes,_08,company_05,_06,_04,_01,_06,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,gen_pop,KCKMC3,KCKMC3,462,_02,1964,61,age_06,_06,_01,_02,_04,_02,,,,,,,,,_04,Enjoy work environment,_03,_01,_18,,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_03,_02,_02,_02,_03,_02,_03,_03,_03,_04,_03,_04,_02,_01,_07,_05,_06,,,,,,,,,,_03,_03,_04,,Yes,_04,company_03,_04,_01,_01,_07,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,gen_pop,6DJDEK,6DJDEK,463,_02,1966,59,age_06,_07,_03,_04,_04,_06,,,,,,,,,_03,I’m enjoying taking a break from corporate to focus on pro bono and non profit work.,_04,_03,_18,_04,_03,_21,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_03,_02,_03,_04,_02,_03,_03,_02,_02,_03,_04,_02,_04,_01,_03,_05,_Other,,,,,_04,,_04,,_03,,,_04,Yes,_01,company_01,_01,_01,_01,_09,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,gen_pop,HE5IJG,HE5IJG,468,_02,1963,62,age_06,_07,_01,_02,_04,_02,,,,,,,,,_05,Leadership/communication/growth opportunity/salary,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_03,_04,_04,_02,_01,_04,_03,_04,_04,_04,_04,_03,_04,_04,_01,_05,_01,,,,,,,_03,,,,_03,,,,Yes,_07,company_05,_10,_04,_01,_07,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,gen_pop,JG68I8,JG68I8,502,_02,1971,54,age_05,_07,_01,_02,_03,_03,,,,,,,,,_04,"I like what I do. The leadership team is making positive changes, and I agree with our president's vision for the company.",_02,,,,,,,,,,,,,,,,,,,,,,,,,,_01,_04,_03,_02,_01,_03,_03,_02,_04,_04,_03,_04,_04,_03,_03,_01,_05,,,,,,,,,,,,_03,,,,Yes,_06,company_04,_07,_01,_01,_08,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,gen_pop,52F55G,52F55G,517,_02,1971,54,age_05,_07,_01,_05,_03,_02,,,,,,,,,_04,New to consulting,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_04,_03,_03,_01,_03,_03,_02,_04,_04,_04,_04,_04,_04,_04,_01,_03,_05,_07,_06,,,,,,,_03,,_04,_04,_05,,No,_08,company_05,_08,_04,_01,_08,_03,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,gen_pop,D9GC63,D9GC63,531,_02,1981,44,age_04,_07,_01,_04,_04,_06,,,,,,,,,_02,"I enjoy the company I am working with, but do not enjoy the position.  I like to be more hands on and involved with people.",_02,,,,,,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_02,_01,_03,_04,_04,_04,_04,_04,_04,_04,_04,_02,_01,_05,_03,_04,_06,,,,,,,_05,_05,_05,_04,,,Yes,_08,company_05,_10,_04,_04,_07,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,gen_pop,6FAJNM,6FAJNM,534,_02,1971,54,age_05,_06,_01,_02,_03,_02,,,,,,,,,_03,It's good not great - role and responsibilities are in development!,_03,_01,_19,,,,,,,,,,,,,,,,,,,,,,,,_04,_04,_03,_04,_01,_02,_04,_03,_04,_04,_03,_04,_04,_04,_04,_01,_04,_06,_07,_03,_05,_Other,,,,,_02,_03,_03,_03,_04,_04,Yes,_08,company_05,_08,_04,_01,_08,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,gen_pop,7E6DKB,7E6DKB,563,_02,2000,25,age_03,_04,_02,_02,_06,_05,_07,,,,,,,,_05,It's the best work I have ever done,_04,_03,_06,,,,,,,,,,,,,,,,,,,,,,,,_01,_03,_02,_04,_03,_02,_03,_03,_04,_04,_03,_03,_04,_04,_04,_01,_07,_03,,,,,,,,,_05,,,,_04,,No,_05,company_03,_04,_01,_02,_06,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,gen_pop,38DG1C,38DG1C,569,_02,1987,38,age_04,_06,_01,_04,_Other,_04,_06,_07,,,,,,,_02,It appears to me that the security industry just wants to remain status quo (especially when it comes to promoting women of colour). It’s really discouraging to continue to see white males promoted when there are many women of colour out performing also going for these top roles.,_05,_03,_24,_12,_11,_13,_09,_14,_10,_02,,,,,,,,,,,,,,,,,_04,_04,_04,_03,_03,_04,_04,_04,_03,_03,_02,_01,_01,_03,_01,_01,_04,_03,_02,_07,_05,_06,_01,,_05,_03,_03,_03,_05,_05,_04,,Yes,_08,company_05,_01,_04,_02,_05,_Other,,,,,,_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,gen_pop,2DHM27,2DHM27,573,_01,1995,30,age_03,_05,_01,_03,_05,_06,,,,,,,,,_04,"The job provides stability and consistent work, but there are limited opportunities for career advancement and skill development. Additionally, long hours and the high-stress environment can sometimes impact work-life balance.",_01,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_03,_02,_03,_02,_02,_03,_02,_03,_03,_03,_03,_03,_03,_04,_02,_07,_04,,,,,,,,,,_04,,,_04,,Yes,_03,company_02,_07,_01,_03,_07,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,gen_pop,IIAB76,IIAB76,574,_02,1966,59,age_06,_07,_03,_04,_04,_06,,,,,,,,,_04,"I have autonomy,I am a Leader in my region. I am enthusiastic about security. Me former manager was my mentor.",_02,,,,,,,,,,,,,,,,,,,,,,,,,,_04,_04,_04,_02,_01,_03,_04,_02,_04,_03,_04,_04,_04,_04,_05,_01,_05,_01,,,,,,,_04,,,,_04,,,,No,_08,company_05,_10,_04,_01,_06,_03,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,gen_pop,1JBKDF,1JBKDF,576,_02,1999,26,age_03,_03,_01,_07,_06,_02,,,,,,,,,_04,It makes me be myself. I have a lot of things going on. So I just love to see people and have a nice conversation with them,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_04,_03,_03,_03,_02,_01,_03,_02,_04,_03,_04,_04,_03,_03,_04,_01,_02,,,,,,,,,_05,,,,,,,No,_06,company_04,_06,_01,_02,_06,_02,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,gen_pop,78145F,78145F,580,_01,1999,26,age_03,_03,_01,_02,_04,_04,,,,,,,,,_04,"I am satisfied with my current job in the security industry. Here, interpersonal relationships are simple, and everyone focuses on security affairs. There are no complicated disputes, and the working atmosphere is relaxed and pleasant.",_02,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_03,_03,_02,_02,_03,_02,_03,_03,_03,_04,_03,_03,_03,_04,_01,_03,,,,,,,,,,_03,,,,,,Yes,_04,company_03,_03,_01,_02,_05,_02,,,,,,_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,gen_pop,1M762L,1M762L,581,_02,1984,41,age_04,_05,_01,_01,_07,_04,_06,,,,,,,,_03,Good salary and benefits,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_03,_04,_03,_03,_03,_04,_03,_04,_03,_03,_04,_04,_03,_04,_01,_05,_06,,,,,,,,,,,_03,_04,,,No,_03,company_02,_01,_01,_02,_04,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,gen_pop,7M8636,7M8636,582,_02,1990,35,age_04,_04,_01,_03,_05,_02,_03,_06,,,,,,,_04,满意度受细分领域（如网络安全、物理安全、工业安全、公共安全等,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_03,_03,_03,_02,_02,_02,_02,_03,_03,_03,_03,_03,_03,_03,_01,_07,_01,_06,,,,,,_03,,,,,_04,_04,,Yes,_04,company_03,_04,_02,_03,_04,none,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,gen_pop,7N1NAN,7N1NAN,583,_02,1994,31,age_03,_05,_01,_03,_05,_02,_03,_06,,,,,,,_04,满意度受细分领域（如网络安全、物理安全、工业安全、公共安全等,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_03,_03,_03,_02,_02,_02,_02,_03,_03,_03,_03,_03,_03,_04,_01,_03,_07,_04,,,,,,,,_03,_04,,,_04,,Yes,_05,company_03,_04,_01,_03,_03,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,gen_pop,NKA11F,NKA11F,584,_02,1992,33,age_03,_05,_01,_03,_06,_02,_03,_06,,,,,,,_04,满意度受细分领域（如网络安全、物理安全、工业安全、公共安全等,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_03,_03,_03,_02,_02,_02,_03,_03,_03,_03,_03,_03,_03,_03,_01,_07,_01,_02,,,,,,_04,_04,,,,,_04,,Yes,_06,company_04,_04,_01,_03,_03,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,gen_pop,ICCEN5,ICCEN5,585,_02,1990,35,age_04,_04,_01,_02,_06,_02,_03,_06,,,,,,,_04,满意度受细分领域（如网络安全、物理安全、工业安全、公共安全等,_02,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_02,_03,_03,_02,_02,_02,_02,_03,_03,_03,_03,_03,_03,_03,_01,_01,_06,_07,,,,,,_03,,,,,_04,_04,,Yes,_05,company_03,_04,_01,_02,_03,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,gen_pop,93MAH3,93MAH3,586,_01,2000,25,age_03,_04,_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_03,_03,_03,_02,_04,_03,_04,_03,_03,_04,_03,_03,_03,_02,_03,_01,_02,_03,_05,_04,,,,,,_04,_04,_05,_05,,,,Yes,_02,company_01,_04,_01,_03,_03,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,gen_pop,2FHK7N,2FHK7N,587,_02,1986,39,age_04,_03,_02,_03,_06,_02,,,,,,,,,_04,Easy,_03,_01,_18,_02,,,,,,,,,,,,,,,,,,,,,,,_04,_03,_04,_03,_03,_03,_03,_04,_03,_03,_03,_03,_04,_04,_03,_01,_06,_07,,,,,,,,,,,,_03,_03,,No,_02,company_01,_01,_03,_03,_03,_01,,,,,,_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,gen_pop,F549GE,F549GE,593,_03,1994,31,age_03,_03,_02,_03,_04,_04,_06,,,,,,,,_03,The salary is not quite satisfactory.,_03,_01,_02,_03,,,,,,,,,,,,,,,,,,,,,,,_02,_03,_03,_04,_02,_02,_03,_03,_03,_03,_03,_03,_04,_03,_03,_02,_05,_03,,,,,,,,,_03,,_03,,,,Yes,_04,company_03,_03,_04,_01,_03,_02,,,,,,_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,gen_pop,4AJ416,4AJ416,594,_02,1996,29,age_03,_04,_01,_03,_07,_06,_08,,,,,,,,_03,Satisfactory,_03,_01,_04,_18,_02,,,,,,,,,,,,,,,,,,,,,,_04,_04,_03,_03,_03,_04,_04,_04,_03,_03,_03,_04,_03,_03,_02,_02,_01,_04,,,,,,,_04,,,_03,,,,,Yes,_04,company_03,_02,_01,_03,_04,_03,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,gen_pop,FEG5AG,FEG5AG,595,_02,1992,33,age_03,_04,_01,_03,_05,_02,_03,,,,,,,,_04,"Such as cybersecurity, physical security, industrial security, public security, etc.",_02,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_03,_03,_03,_02,_02,_02,_02,_03,_03,_03,_02,_03,_03,_04,_02,_07,_01,_04,,,,,,_04,,,_04,,,_03,,Yes,_05,company_03,_04,_02,_02,_04,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,gen_pop,DABDE2,DABDE2,596,_02,1988,37,age_04,_04,_01,_03,_05,_02,_03,_06,,,,,,,_04,"Such as cybersecurity, physical security, industrial security, public security, etc.",_02,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_03,_03,_03,_02,_02,_02,_02,_03,_03,_03,_02,_03,_03,_04,_02,_01,_06,_07,,,,,,_04,,,,,_04,_03,,Yes,_05,company_03,_04,_01,_02,_03,_05,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,gen_pop,JLJ9HC,JLJ9HC,597,_02,1987,38,age_04,_04,_01,_03,_05,_02,_04,_06,,,,,,,_04,"Such as cybersecurity, physical security, industrial security, public security, etc.",_02,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_02,_03,_03,_02,_02,_02,_02,_03,_03,_03,_02,_03,_03,_04,_02,_04,_06,_07,,,,,,,,,_04,,_04,_04,,Yes,_05,company_03,_03,_01,_03,_03,_05,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,gen_pop,CIIKG6,CIIKG6,598,_02,1990,35,age_04,_04,_01,_03,_06,_03,_06,_07,,,,,,,_04,"Such as cybersecurity, physical security, industrial security, public security, etc.",_02,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_02,_03,_03,_03,_02,_02,_02,_03,_03,_03,_02,_03,_03,_03,_02,_07,_06,_01,,,,,,_05,,,,,_05,_04,,Yes,_05,company_03,_03,_01,_03,_03,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,gen_pop,54D331,54D331,599,_02,1982,43,age_04,_04,_02,_03,_06,_03,_06,,,,,,,,_04,Easy; Simple work,_03,_01,_02,_19,_09,,,,,,,,,,,,,,,,,,,,,,_03,_03,_03,_03,_03,_03,_03,_04,_04,_03,_04,_04,_03,_03,_03,_01,_07,_03,,,,,,,,,_04,,,,_03,,Yes,_03,company_02,_02,_02,_04,_05,_03,,,,,,_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,gen_pop,63246F,63246F,601,_01,1993,32,age_03,_03,_01,_04,_07,_05,_06,,,,,,,,_03,Simple work,_04,_01,_09,_18,_03,,,,,,,,,,,,,,,,,,,,,,_04,_03,_03,_03,_04,_03,_03,_03,_03,_03,_03,_03,_03,_03,_03,_01,_07,_06,,,,,,,,,,,,_03,_03,,No,_03,company_02,_02,_02,_02,_05,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,gen_pop,44FK15,44FK15,602,_01,1987,38,age_04,_03,_02,_02,_06,_04,,,,,,,,,_04,安全大于一切，我热爱这份工作,_01,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_04,_04,_03,_03,_03,_01,_01,_04,_03,_04,_04,_03,_04,_03,_01,none,,,,,,,,,,,,,,,,No,_04,company_03,_04,_01,_03,_05,none,,,,,,_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,gen_pop,G8LH9A,G8LH9A,604,_02,1981,44,age_04,_04,_01,_02,_07,_01,_03,,,,,,,,_02,Low salary,_03,_01,_03,_02,,,,,,,,,,,,,,,,,,,,,,,_03,_04,_03,_03,_04,_04,_03,_03,_04,_04,_04,_03,_03,_03,_04,_01,_07,,,,,,,,,,,,,,_03,,No,_02,company_01,_01,_02,_02,_03,_02,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,gen_pop,M4K89E,M4K89E,606,_02,1996,29,age_03,_03,_01,_07,_07,_03,_04,,,,,,,,_03,Tired,_03,_01,_18,_09,_02,,,,,,,,,,,,,,,,,,,,,,_03,_03,_03,_04,_03,_03,_03,_04,_04,_04,_03,_04,_04,_03,_03,_02,_05,,,,,,,,,,,,_04,,,,No,_03,company_02,_01,_01,_03,_03,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,gen_pop,AEGHJC,AEGHJC,607,_02,1991,34,age_03,_04,_01,_03,_05,_02,_03,_06,,,,,,,_04,"In the field of industrial safety: Optimizing safety procedures in factories, reducing accident rates, and directly contributing to production safety are regarded as the ""backstage guardians"".",_02,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_02,_03,_03,_02,_03,_02,_02,_03,_03,_03,_02,_03,_03,_03,_01,_02,_07,,,,,,,,_05,,,,,_04,,Yes,_05,company_03,_04,_01,_02,_04,none,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,gen_pop,BG9GAN,BG9GAN,608,_02,1987,38,age_04,_04,_01,_03,_05,_02,_03,_06,,,,,,,_04,"In the field of industrial safety: Optimizing safety procedures in factories, reducing accident rates, and directly contributing to production safety are regarded as the ""backstage guardians"".",_02,,,,,,,,,,,,,,,,,,,,,,,,,,_02,_03,_03,_03,_02,_03,_02,_02,_03,_03,_03,_02,_03,_03,_04,_02,_04,_07,,,,,,,,,,_05,,,_04,,Yes,_05,company_03,_04,_01,_02,_03,_01,,,,,,_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
